hidden_layers,activation,solver,max_iter,accuracy,f1_score,cv_mean,cv_std,cv_fold_1,cv_fold_2,cv_fold_3,validation_fraction,n_iter_no_change,learning_rate,alpha,batch_size,learning_rate_init,momentum,nesterovs_momentum,early_stopping,tol,n_iter_,n_layers_,n_outputs_,timestamp
"(200,)",logistic,adam,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,3,1,2024-12-27 02:02:20.585311
"(200,)",logistic,adam,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,3,1,2024-12-27 02:02:20.076417
"(200,)",logistic,adam,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,3,1,2024-12-27 02:02:20.246182
"(200,)",logistic,adam,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,3,1,2024-12-27 02:02:20.416676
"(200, 100, 50, 25)",logistic,adam,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,6,1,2024-12-27 02:08:28.884554
"(200, 100, 50, 25)",logistic,adam,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,6,1,2024-12-27 02:08:27.896176
"(200, 100, 50, 25)",logistic,adam,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,6,1,2024-12-27 02:08:28.226178
"(200, 100, 50, 25)",logistic,adam,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,6,1,2024-12-27 02:08:28.555891
"(10, 10, 10)",tanh,sgd,1000,0.8125,0.4482758620689655,0.48173399387578963,0.03893769715734674,0.4326923076923077,0.48456610366919045,0.5279435702658708,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,133,5,1,2024-12-27 02:01:32.942866
"(200, 100, 50)",logistic,sgd,1000,0.8125,0.4482758620689655,0.4774842239795511,0.04085110468033952,0.4485981308411215,0.4485981308411215,0.5352564102564102,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,112,5,1,2024-12-27 02:05:22.326801
