hidden_layers,activation,solver,max_iter,f1_score,cv_mean,cv_std
"(10, 10, 15)",relu,sgd,2500,0.5016731016731018,0.49215050091074686,0.09467387998758829
"(10, 10, 15)",relu,sgd,3000,0.5016731016731018,0.49215050091074686,0.09467387998758829
"(10, 10, 15)",relu,lbfgs,200,1.0,0.6412977874454675,0.08598188824677147
"(10, 10, 15)",relu,lbfgs,2000,1.0,0.6412977874454675,0.08598188824677147
"(10, 10, 15)",relu,lbfgs,2500,1.0,0.6412977874454675,0.08598188824677147
"(10, 10, 15)",relu,lbfgs,3000,1.0,0.6412977874454675,0.08598188824677147
"(10, 10, 15)",tanh,adam,200,0.47909729929707734,0.4638675993907678,0.06182913337434964
"(10, 10, 15)",tanh,adam,2000,0.47909729929707734,0.4638675993907678,0.06182913337434964
"(10, 10, 15)",tanh,adam,2500,0.47909729929707734,0.4638675993907678,0.06182913337434964
"(10, 10, 15)",tanh,adam,3000,0.47909729929707734,0.4638675993907678,0.06182913337434964
"(10, 10, 15)",tanh,sgd,200,0.4641025641025641,0.47627469368771785,0.05479857768142646
"(10, 10, 15)",tanh,sgd,2000,0.4641025641025641,0.47627469368771785,0.05479857768142646
"(10, 10, 15)",tanh,sgd,2500,0.4641025641025641,0.47627469368771785,0.05479857768142646
"(10, 10, 15)",tanh,sgd,3000,0.4641025641025641,0.47627469368771785,0.05479857768142646
"(10, 10, 15)",tanh,lbfgs,200,1.0,0.5959954338724354,0.07833929648070749
"(10, 10, 15)",tanh,lbfgs,2000,1.0,0.5959954338724354,0.07833929648070749
"(10, 10, 15)",tanh,lbfgs,2500,1.0,0.5959954338724354,0.07833929648070749
"(10, 10, 15)",tanh,lbfgs,3000,1.0,0.5959954338724354,0.07833929648070749
"(10, 10, 15)",logistic,adam,200,0.4482758620689655,0.5281048286900096,0.11624409985077885
"(10, 10, 15)",logistic,adam,2000,0.4482758620689655,0.5281048286900096,0.11624409985077885
"(10, 10, 15)",logistic,adam,2500,0.4482758620689655,0.5281048286900096,0.11624409985077885
"(10, 10, 15)",logistic,adam,3000,0.4482758620689655,0.5281048286900096,0.11624409985077885
"(10, 10, 15)",logistic,sgd,200,0.4482758620689655,0.5162277530589544,0.10794506549459888
"(10, 10, 15)",logistic,sgd,2000,0.4482758620689655,0.5162277530589544,0.10794506549459888
"(10, 10, 15)",logistic,sgd,2500,0.4482758620689655,0.5162277530589544,0.10794506549459888
"(10, 10, 15)",logistic,sgd,3000,0.4482758620689655,0.5162277530589544,0.10794506549459888
"(10, 10, 15)",logistic,lbfgs,200,0.9809027777777778,0.5995169271400171,0.11860297745979669
"(10, 10, 15)",logistic,lbfgs,2000,1.0,0.6373211417222978,0.13383563025306278
"(10, 10, 15)",logistic,lbfgs,2500,1.0,0.6373211417222978,0.13383563025306278
"(10, 10, 15)",logistic,lbfgs,3000,1.0,0.6373211417222978,0.13383563025306278
"(10, 10, 15)",identity,adam,200,0.5133640552995392,0.4803101936509898,0.0583964493279089
"(10, 10, 15)",identity,adam,2000,0.5133640552995392,0.4803101936509898,0.0583964493279089
"(10, 10, 15)",identity,adam,2500,0.5133640552995392,0.4803101936509898,0.0583964493279089
"(10, 10, 15)",identity,adam,3000,0.5133640552995392,0.4803101936509898,0.0583964493279089
"(10, 10, 15)",identity,sgd,200,0.5064935064935066,0.490627764767109,0.044758322051999234
"(10, 10, 15)",identity,sgd,2000,0.5064935064935066,0.490627764767109,0.044758322051999234
"(10, 10, 15)",identity,sgd,2500,0.5064935064935066,0.490627764767109,0.044758322051999234
"(10, 10, 15)",identity,sgd,3000,0.5064935064935066,0.490627764767109,0.044758322051999234
"(10, 10, 15)",identity,lbfgs,200,1.0,0.577482474078575,0.141426114274307
"(10, 10, 15)",identity,lbfgs,2000,1.0,0.577482474078575,0.141426114274307
"(10, 10, 15)",identity,lbfgs,2500,1.0,0.577482474078575,0.141426114274307
"(10, 10, 15)",identity,lbfgs,3000,1.0,0.577482474078575,0.141426114274307
"(10, 10, 20)",relu,adam,200,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 20)",relu,adam,2000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 20)",relu,adam,2500,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 20)",relu,adam,3000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 20)",relu,sgd,200,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 20)",relu,sgd,2000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 20)",relu,sgd,2500,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 20)",relu,sgd,3000,0.4482758620689655,0.44825854700854695,0.004022169858740673
"(10, 10, 20)",relu,lbfgs,200,0.9905655320289467,0.6154902941464633,0.0509614889376231
"(10, 10, 20)",relu,lbfgs,2000,0.9905655320289467,0.6101885783184315,0.04624112564013512
"(10, 10, 20)",relu,lbfgs,2500,0.9905655320289467,0.6101885783184315,0.04624112564013512
"(10, 10, 20)",relu,lbfgs,3000,0.9905655320289467,0.6101885783184315,0.04624112564013512
"(10, 10, 20)",tanh,adam,200,0.4482758620689655,0.44825854700854695,0.004022169858740673
